magaza,smape_val,kapsama_val,n_val,smape_test,kapsama_test,kapali,eski_kapi_test
491,7.55,76.52,33,7.14,79.17,False,False
492,7.69,74.78,33,5.91,91.67,False,False
493,6.41,80.87,33,6.48,87.5,False,False
494,6.22,92.14,40,7.0,85.71,False,False
495,7.59,76.52,33,7.23,79.17,False,False
496,6.88,79.83,34,6.5,87.5,False,False
497,8.45,60.0,33,6.54,66.67,True,True
498,4.68,87.83,33,4.43,83.33,False,False
499,6.86,83.48,33,7.34,79.17,False,False
500,8.41,79.13,33,10.02,58.33,False,True
501,7.41,80.87,33,10.69,70.83,False,False
502,6.83,77.39,33,7.77,70.83,False,False
503,10.08,71.43,34,8.5,87.5,False,False
504,5.08,91.6,34,8.73,75.0,False,False
505,16.17,37.39,33,8.92,62.5,True,True
506,6.75,81.74,33,8.31,66.67,False,True
507,6.89,84.35,33,5.82,91.67,False,False
508,6.74,86.96,33,8.35,79.17,False,False
509,5.21,85.22,33,6.72,83.33,False,False
510,7.71,72.17,33,6.02,87.5,False,False
511,4.41,83.19,34,8.48,45.83,False,True
512,8.67,90.0,40,11.97,71.43,False,False
513,7.12,72.27,34,6.2,87.5,False,False
514,9.53,61.74,33,9.4,66.67,True,True
515,6.3,84.35,33,6.19,87.5,False,False
516,10.22,61.74,33,11.04,79.17,True,False
517,14.16,60.5,34,8.43,83.33,True,False
518,8.84,81.74,33,13.14,54.17,False,True
519,7.94,79.83,34,8.35,66.67,False,True
520,6.72,84.87,34,10.52,62.5,False,True
521,9.01,67.83,33,8.73,75.0,False,False
522,9.18,66.96,33,10.75,58.33,False,True
523,5.16,98.32,34,3.72,100.0,False,False
524,10.33,93.57,40,8.68,96.43,False,False
525,12.15,33.61,34,5.3,91.67,True,False
526,8.24,70.59,34,7.47,79.17,False,False
527,6.15,82.61,33,9.88,54.17,False,True
528,4.69,90.43,33,6.84,79.17,False,False
529,4.6,90.76,34,8.57,70.83,False,False
530,15.28,94.29,40,18.36,85.71,False,False
531,5.37,82.35,34,7.88,66.67,False,True
532,5.67,83.48,33,5.37,87.5,False,False
533,6.2,84.35,33,5.9,79.17,False,False
534,10.32,65.22,33,16.88,41.67,False,True
535,7.92,77.39,33,7.59,79.17,False,False
536,6.24,80.87,33,7.95,87.5,False,False
537,7.46,73.04,33,8.93,58.33,False,True
538,6.63,94.96,34,6.49,87.5,False,False
539,5.84,72.17,33,5.99,79.17,False,False
540,7.61,89.57,33,12.79,66.67,False,True
541,8.43,80.87,33,9.26,70.83,False,False
542,7.61,63.48,33,7.94,70.83,True,False
543,9.25,86.09,33,9.26,79.17,False,False
544,6.5,85.71,34,6.24,87.5,False,False
545,7.45,69.57,33,5.9,91.67,False,False
546,5.46,81.51,34,9.03,50.0,False,True
547,11.01,75.65,33,9.12,66.67,False,True
548,7.99,83.48,33,11.51,58.33,False,True
549,6.49,82.35,34,7.1,79.17,False,False
550,14.64,60.0,33,14.22,37.5,True,True
551,6.45,87.39,34,8.15,83.33,False,False
552,6.86,87.83,33,9.42,79.17,False,False
553,9.58,95.65,33,7.42,100.0,False,False
554,6.96,77.31,34,10.84,66.67,False,True
555,7.45,81.74,33,7.83,79.17,False,False
556,8.11,66.39,34,7.16,79.17,False,False
557,7.96,81.74,33,10.01,75.0,False,False
558,10.78,47.06,34,8.39,70.83,True,False
559,6.96,92.44,34,7.66,91.67,False,False
560,5.95,86.55,34,8.77,79.17,False,False
561,5.79,85.22,33,9.59,62.5,False,True
562,5.08,89.29,40,5.84,85.71,False,False
563,10.11,65.22,33,15.76,58.33,False,True
564,7.75,70.43,33,5.36,83.33,False,False
565,6.24,79.13,33,5.44,83.33,False,False
566,7.0,74.79,34,7.09,87.5,False,False
567,6.54,86.96,33,9.68,75.0,False,False
568,8.84,80.87,33,5.19,95.83,False,False
569,5.75,84.03,34,6.93,79.17,False,False
570,7.32,83.48,33,11.02,83.33,False,False
571,5.68,96.52,33,10.07,79.17,False,False
572,7.69,80.0,33,4.79,91.67,False,False
573,9.79,57.39,33,8.01,79.17,True,False
